iter	Passed	Remaining
580	3504	2527
581	3511	2521
582	3516	2515
583	3524	2510
584	3530	2504
585	3535	2497
586	3541	2491
587	3546	2485
588	3553	2479
589	3558	2473
590	3564	2466
591	3571	2461
592	3576	2454
593	3583	2449
594	3589	2443
595	3594	2436
596	3599	2429
597	3605	2423
598	3610	2417
599	3615	2410
600	3621	2404
601	3627	2398
602	3634	2392
603	3639	2386
604	3644	2379
605	3650	2373
606	3655	2367
607	3660	2360
608	3666	2354
609	3671	2347
610	3676	2340
611	3681	2334
612	3686	2327
613	3691	2320
614	3696	2314
615	3703	2308
616	3709	2302
617	3716	2297
618	3722	2291
619	3729	2285
620	3738	2281
621	3747	2277
622	3753	2271
623	3759	2265
624	3767	2260
625	3775	2255
626	3783	2250
627	3790	2245
628	3798	2240
629	3805	2234
630	3812	2229
631	3819	2223
632	3827	2218
633	3834	2213
634	3842	2208
635	3851	2204
636	3861	2200
637	3871	2196
638	3881	2192
639	3888	2187
640	3896	2182
641	3903	2176
642	3912	2171
643	3918	2165
644	3924	2159
645	3932	2155
646	3940	2149
647	3946	2143
648	3955	2139
649	3962	2133
650	3968	2127
651	3976	2122
652	3982	2116
653	3988	2109
654	3994	2103
655	3999	2097
656	4007	2092
657	4013	2085
658	4020	2080
659	4027	2074
660	4034	2069
661	4043	2064
662	4049	2058
663	4055	2052
664	4061	2045
665	4065	2039
666	4072	2033
667	4077	2026
668	4082	2019
669	4088	2013
670	4092	2006
671	4097	1999
672	4102	1993
673	4107	1986
674	4111	1979
675	4116	1972
676	4121	1966
677	4126	1959
678	4130	1952
679	4137	1946
680	4142	1940
681	4148	1934
682	4154	1928
683	4158	1921
684	4163	1914
685	4169	1908
686	4173	1901
687	4178	1894
688	4183	1888
689	4188	1881
690	4193	1875
691	4198	1868
692	4203	1862
693	4208	1855
694	4213	1848
695	4219	1842
696	4223	1836
697	4228	1829
698	4235	1823
699	4240	1817
700	4245	1810
701	4251	1804
702	4256	1798
703	4261	1791
704	4266	1785
705	4271	1778
706	4276	1772
707	4283	1766
708	4289	1760
709	4294	1754
710	4300	1747
711	4305	1741
712	4310	1735
713	4316	1728
714	4321	1722
715	4326	1716
716	4332	1709
717	4337	1703
718	4343	1697
719	4349	1691
720	4355	1685
721	4363	1680
722	4369	1674
723	4376	1668
724	4383	1662
725	4389	1656
726	4397	1651
727	4403	1645
728	4412	1640
729	4419	1634
730	4426	1628
731	4432	1622
732	4437	1616
733	4446	1611
734	4451	1605
735	4457	1598
736	4464	1593
737	4472	1587
738	4479	1582
739	4486	1576
740	4494	1570
741	4501	1565
742	4509	1559
743	4515	1553
744	4523	1548
745	4529	1542
746	4536	1536
747	4546	1531
748	4554	1526
749	4561	1520
750	4567	1514
751	4576	1509
752	4582	1503
753	4590	1497
754	4595	1491
755	4601	1485
756	4607	1478
757	4612	1472
758	4617	1466
759	4623	1460
760	4628	1453
761	4634	1447
762	4680	1453
763	4722	1458
764	4728	1452
765	4735	1446
766	4746	1441
767	4760	1438
768	4768	1432
769	4772	1425
770	4777	1419
771	4784	1412
772	4789	1406
773	4794	1399
774	4800	1393
775	4805	1387
776	4811	1380
777	4817	1374
778	4822	1368
779	4827	1361
780	4833	1355
781	4837	1348
782	4842	1342
783	4848	1335
784	4853	1329
785	4858	1322
786	4864	1316
787	4870	1310
788	4875	1303
789	4881	1297
790	4886	1291
791	4891	1284
792	4896	1278
793	4901	1271
794	4906	1265
795	4911	1258
796	4916	1252
797	4920	1245
798	4926	1239
799	4931	1232
800	4936	1226
801	4940	1219
802	4946	1213
803	4951	1207
804	4956	1200
805	4962	1194
806	4968	1188
807	4972	1181
808	4979	1175
809	4983	1169
810	4989	1162
811	4996	1156
812	5001	1150
813	5005	1143
814	5011	1137
815	5016	1131
816	5023	1125
817	5030	1119
818	5035	1112
819	5040	1106
820	5046	1100
821	5051	1093
822	5056	1087
823	5062	1081
824	5067	1074
825	5074	1068
826	5080	1062
827	5085	1056
828	5093	1050
829	5100	1044
830	5106	1038
831	5112	1032
832	5118	1026
833	5126	1020
834	5131	1014
835	5141	1008
836	5147	1002
837	5156	996
838	5163	990
839	5169	984
840	5176	978
841	5182	972
842	5190	966
843	5195	960
844	5200	953
845	5207	947
846	5212	941
847	5218	935
848	5224	929
849	5229	922
850	5235	916
851	5241	910
852	5247	904
853	5254	898
854	5261	892
855	5267	886
856	5276	880
857	5282	874
858	5291	868
859	5297	862
860	5305	856
861	5311	850
862	5323	845
863	5329	838
864	5336	832
865	5342	826
866	5351	821
867	5359	815
868	5365	808
869	5372	802
870	5377	796
871	5386	790
872	5391	784
873	5397	778
874	5403	771
875	5408	765
876	5414	759
877	5421	753
878	5428	747
879	5435	741
880	5442	735
881	5449	729
882	5457	723
883	5464	717
884	5470	710
885	5476	704
886	5484	698
887	5489	692
888	5494	686
889	5499	679
890	5504	673
891	5509	667
892	5516	660
893	5522	654
894	5530	648
895	5535	642
896	5544	636
897	5549	630
898	5555	624
899	5563	618
900	5569	611
901	5576	605
902	5581	599
903	5587	593
904	5593	587
905	5598	580
906	5603	574
907	5610	568
908	5615	562
909	5620	555
910	5626	549
911	5631	543
912	5638	537
913	5643	531
914	5648	524
915	5653	518
916	5658	512
917	5664	505
918	5668	499
919	5675	493
920	5680	487
921	5685	480
922	5691	474
923	5696	468
924	5701	462
925	5707	456
926	5712	449
927	5717	443
928	5723	437
929	5729	431
930	5735	425
931	5740	418
932	5745	412
933	5750	406
934	5755	400
935	5760	393
936	5765	387
937	5771	381
938	5777	375
939	5782	369
940	5789	362
941	5794	356
942	5800	350
943	5806	344
944	5810	338
945	5815	331
946	5821	325
947	5825	319
948	5830	313
949	5836	307
950	5841	300
951	5847	294
952	5854	288
953	5859	282
954	5865	276
955	5871	270
956	5876	264
957	5881	257
958	5887	251
959	5892	245
960	5897	239
961	5903	233
962	5908	227
963	5914	220
964	5919	214
965	5926	208
966	5933	202
967	5939	196
968	5945	190
969	5953	184
970	5960	178
971	5969	171
972	5979	165
973	5987	159
974	5997	153
975	6005	147
976	6013	141
977	6019	135
978	6027	129
979	6034	123
980	6040	116
981	6048	110
982	6055	104
983	6063	98
984	6070	92
985	6079	86
986	6085	80
987	6093	74
988	6100	67
989	6107	61
990	6113	55
991	6118	49
992	6127	43
993	6134	37
994	6141	30
995	6150	24
996	6160	18
997	6167	12
998	6176	6
999	6184	0
